PS Name,Firm Capacity (MVA),Demand (MVA),PF,"Geo(Long,Lat)",GSP,DNO
burnley centre,22.863,11.820207531173045,0.9732480191028361,"-2.239649242972246,53.78667246528964",ROCHDALE,ENW
burnley north,12.0,6.733174309343253,0.999886797822336,"-2.2380754874228876,53.80357301110357",ROCHDALE,ENW
burrow beck,23.0,15.286129700339126,0.992460894329784,"-2.796609190558818,54.01897001836349",HEYSHAM,ENW
burscough bridge,17.5,12.047450624229016,0.9950961736998295,"-2.838808706188153,53.60598857887247",PENWORTHAM ,ENW
bury town centre,22.863,11.79708351115929,0.9987863497901636,"-2.290602033889807,53.593485197852694",KEARSLEY,ENW
campbell st,17.5,11.58395580102065,0.9963952849440819,"-2.409967125765094,53.55377548416846",KEARSLEY,ENW
cannon st,36.0,23.35440759327608,0.9850611246593787,"-2.2416162137785824,53.48418780109781",WHITEGATE,ENW
capontree,22.863,6.257016627783901,0.9569480891869161,"-2.736432235369035,54.92948549990632",HARKER,ENW
carleton,5.0,1.96864560040248,0.9938158395697814,"-3.405432585619523,54.3720582680625",HARKER,ENW
carlisle north,24.5,14.073473461487206,0.9816,"-2.960604050901608,54.93339309062931",HARKER,ENW
carr st,22.863,11.887930400601014,0.9947527007937899,"-2.3485052468561394,53.508138601351696",KEARSLEY,ENW
castleton,22.863,12.880570346445007,0.9982346119817641,"-2.1758273135748802,53.598050472394455",ROCHDALE,ENW
catterall waterworks,5.0,8.266409652985304,0.939160658997473,"-2.7713581303416963,53.873322709147466",PENWORTHAM ,ENW
cecil st,22.31,12.544824814171195,0.9993005305679633,"-3.0451413553102067,53.82491547989073",PENWORTHAM ,ENW
central manchester,29.0,13.262602991376854,0.9991553387940784,"-2.2296969643899334,53.475968913326085",STALYBRIDGE,ENW
chadderton,38.0,10.467974956801637,0.9946535105949282,"-2.1649902713695877,53.53139058192238",WHITEGATE,ENW
chamberhall,21.68,17.638459507667616,0.9990391380151601,"-2.299436046523757,53.59713062431233",KEARSLEY,ENW
chapel wharf,22.863,9.493680773863774,0.9975232029593892,"-2.250130354320969,53.484161279115526",KEARSLEY,ENW
chassen rd,16.6,13.013256813345489,0.9962097990508288,"-2.3697092985465495,53.446269974442735",CARRINGTON,ENW
chatsworth st,20.1,11.921056083727752,0.995511340026861,"-3.2378707517315157,54.119516418293586",HARKER,ENW
cheadle heath,17.5,10.048237223415768,0.9964388695708014,"-2.1960407654533323,53.39815243223122",BREDBURY,ENW
cheadle hulme,22.863,14.136998691377176,0.9918233313322107,"-2.1910574377977974,53.37347784464511",BREDBURY,ENW
cheetham hill,18.290456527927343,15.596781007013046,0.9987939565917515,"-2.2487065875422716,53.516378785556604",KEARSLEY,ENW
chester rd t11 & t12,16.0,10.683899383499984,0.9992354297523286,"-2.287186510921025,53.46188534828739",SOUTH MANCHESTER,ENW
chester rd t13,13.25,3.083761662949779,0.9992354297523286,"-2.2870365034877675,53.46197559400642",SOUTH MANCHESTER,ENW
chorley south,17.5,13.92422728641687,0.9823445449893371,"-2.626897725454889,53.64822875825745",PENWORTHAM ,ENW
chorlton,12.0,7.115342313030834,0.993091873418342,"-2.2813047458655134,53.44022805260212",SOUTH MANCHESTER,ENW
church,7.0,5.967318655730989,0.9777809582618675,"-2.3853933509040393,53.75601155567692",PADIHAM,ENW
circle square,22.86,5.052738615839928,0.9487435344092126,"-2.23704265567777,53.47204456999987",BREDBURY,ENW
clarendon rd,22.863,12.22749923628647,0.9927388072050501,"-2.4709667934186608,53.76437024412068",PENWORTHAM ,ENW
claughton,4.0,3.5357928091747435,0.994904982925303,"-2.6761418095955243,54.0904148389546",HEYSHAM,ENW
cleveleys,17.5,12.025717008660562,0.9981193814653259,"-3.0315234173732324,53.87969132857109",PENWORTHAM ,ENW
clifton junction,17.5,10.32768972928847,0.9853283347272874,"-2.3138669028125536,53.52391043891008",KEARSLEY,ENW
clover hill,19.4,8.154178202061644,0.9975620329844916,"-2.204494526252626,53.8296641259151",PADIHAM,ENW
cog lane,27.075101009858138,18.422883440925066,0.9918684905071405,"-2.2676637593198494,53.786109818476085",PADIHAM,ENW
coniston,1.8,2.273223694504976,0.9963168081577397,"-3.0808902275068806,54.36943339261846",HARKER,ENW
copse rd,22.863,15.350189449433504,0.9971017719092407,"-3.0213057460206945,53.914203688126776",STANAH,ENW
cox green,16.7,10.993326475639662,0.9975673320655873,"-2.4263774757298364,53.61855103287128",KEARSLEY,ENW
craggs row & bushell st,22.86,17.02422281333553,0.9951911514575984,"-2.703243556191149,53.765002894530056",PENWORTHAM ,ENW
crown lane,22.863,15.833026457635537,0.9981269786683283,"-2.564920232490945,53.592971366392476",KEARSLEY,ENW
culcheth,12.0,8.135882791682345,0.9990881068091017,"-2.5220515123096763,53.45390766181373",BOLD,ENW
cutacre,23.0,4.922386854900747,0.999451018623991,"-2.456406646213906,53.536412344675064",KEARSLEY,ENW
deansgate,20.17,11.035916392309073,0.9985450188433213,"-2.2506471288408902,53.47980079335949",SOUTH MANCHESTER,ENW
denton east,22.863,12.625059913079756,0.998554330434726,"-2.1160135696140583,53.45732972830163",STALYBRIDGE,ENW
denton west,22.863,13.489054003373235,0.9941876125330164,"-2.1463424308786663,53.456748068220456",STALYBRIDGE,ENW
dickinson st,31.5,24.832128704656192,0.9990288139600515,"-2.2408915539110668,53.47598280260349",SOUTH MANCHESTER,ENW
didsbury,22.863,14.683662004413302,0.9977084145124203,"-2.2302812426554968,53.416958235479434",SOUTH MANCHESTER,ENW
dodgson rd,22.863,7.456007508122733,0.9986413820010056,"-2.6812949512944773,53.767978941173894",PENWORTHAM ,ENW
douglas st,20.84,10.83863327989822,0.9980142681019719,"-2.7262769699130156,53.76353525983631",PENWORTHAM ,ENW
droylsden east,22.86,14.168306566883897,0.9984909041966022,"-2.144129222315862,53.47911405731091",STALYBRIDGE,ENW
dukinfield,22.863,10.523647965817553,0.95,"-2.0862397595393523,53.464653627954696",STALYBRIDGE,ENW
dumers lane,20.5,9.852999893977529,0.9873966924159266,"-2.3026078802874417,53.56949255431198",KEARSLEY,ENW
dumplington,34.0,16.701686832305946,0.9980430850554849,"-2.351421542433519,53.47063015792295",CARRINGTON,ENW
eastlands,22.863,11.572092838728679,0.9979593570235787,"-2.205542573772024,53.48477669015112",STALYBRIDGE,ENW
easton,1.7,1.515063343144664,0.9972677544717263,"-2.8902571007010094,55.036896622194625",HARKER,ENW
egremont,15.0,11.247403761511533,0.9949554484130618,"-3.5292521235165033,54.50329700402616",HARKER,ENW
embleton,15.242,11.932092066227733,0.9947230432723341,"-3.3070466335375643,54.65253574902094",HARKER,ENW
exchange st,17.5,9.642845424961491,0.995503507855099,"-2.4695360435113805,53.702762140893896",ROCHDALE,ENW
failsworth,22.863,12.852076630636617,0.9983602107602104,"-2.157820233807613,53.51004387485055",WHITEGATE,ENW
fallowfield,22.863,15.610129892140774,0.9989868518131826,"-2.218129661629494,53.44150178703311",SOUTH MANCHESTER,ENW
farnworth,23.0,12.963458048019264,0.9951721197215723,"-2.397982460468152,53.545762386972235",KEARSLEY,ENW
feniscowles,5.7,2.6403324842506506,0.9984884104478428,"-2.5370275674403544,53.721281791359",ROCHDALE,ENW
ferodo,16.54,9.788407951645343,0.9937107614098801,"-1.9155776339191433,53.32892797698428",STALYBRIDGE,ENW
flat lane,4.5,3.804062837421715,0.9500024032217751,"-2.257098366411651,54.008698661679155",PADIHAM,ENW
frederick rd,20.5,15.095569861732717,0.9994460395023457,"-2.2773271860381388,53.490518965591875",KEARSLEY,ENW
fusehill,20.5,16.243469323885545,0.9961782563151214,"-2.920680279647378,54.89031442309742",HARKER,ENW
gale,22.863,8.42822316666192,0.9983273203557217,"-2.1591940557025686,53.63090784148208",ROCHDALE,ENW
garstang,19.6,10.218992561699427,0.940599977970123,"-2.788022998660295,53.90056514736367",STANAH,ENW
gatley,10.0,7.652048849964042,0.9250761701886421,"-2.2384171886898856,53.39208885070235",SOUTH MANCHESTER,ENW
gidlow,22.863,14.166199435737877,0.9975989799934756,"-2.6411846945828605,53.55486227926125",KIRKBY,ENW
gillsrow,5.3,3.71721227240381,0.9978501548367896,"-2.975570943380631,54.62919258735806",HUTTON,ENW
