X,Y,FID,MSOA21CD,GlobalID
546702.0311,169245.8912,68,E02000140,20daa9e2-4d79-4450-b53d-ab53bc3e86e1
536776.4157,188133.9087,69,E02000912,3f075e87-d788-41fe-812c-c48ac18d4372
432659.6388,95800.1199999992,70,E02004795,39930f95-c38c-4834-8a52-ba5288dfef50
271120.3046,125866.1241,71,E02004187,85bd1afd-2219-4a15-8716-d9d41ad2870c
534387.7582,176919.4911,72,E02000828,38c29f70-c6e3-41a3-9bae-654ba2034471
527583.2757,137150.1971,73,E02006578,b5ee3fd0-ed6e-41c8-b89a-4d94c9f68b12
519280.1725,190925.714,74,E02000439,316e604c-5dfe-4af4-a285-d4f6088be3ac
529269.4907,186572.6818,75,E02000557,742586ac-35fa-42d8-a0df-b794d86f018c
292346.078,56072.9298,76,E02003170,d581c2cf-2512-488c-ae03-3865dec57271
533414.6503,182840.9551,77,E02007111,dfd7f149-1818-4a5e-b2d6-1d066f597853
572057.121,169099.5189,78,E02003321,84e2f4e0-597c-4ae2-9842-aca377d15cc5
528977.2554,183426.3564,79,E02000186,a1b9f14b-7d77-4ed3-8f95-c4577ff66ea0
523197.5767,180234.527899999,80,E02000375,2600c6ec-32c3-4cb4-9b62-b704fb196229
451060.8903,106788.478499999,81,E02004731,8107776a-8c83-476f-b7c8-ce81aeed7c6a
558340.9162,138256.929300001,82,E02005173,3b89d50c-89b4-4224-a770-eb9da3f9aed1
537498.4771,179542.0175,83,E02006853,75153558-4366-4c4e-bc78-f6fadf80ffff
408010.5738,95492.8136999998,84,E02003174,9ee03980-5c2b-4fa9-ab6b-51d965fd9696
435925.6933,144931.1996,85,E02004819,98d43483-cd24-4897-8327-44eb699a0104
401434.4401,284182.1731,86,E02001911,11fe421c-9942-42cb-b5d7-d58417384d2a
327767.4567,195990.645400001,87,W02000331,24915741-eba1-4951-91f1-6815472c2c85
496469.2883,177655.521,88,E02003430,92f21cb8-7e23-48de-b91a-af65ad18bcbd
334381.4859,93039.0502000004,89,E02004273,2661bd9f-d615-4226-b379-c2d0eb52e813
247140.8867,60272.9934999999,90,E02003124,2d94b743-4763-4696-8b44-a631aa8a9680
471866.6086,166781.9417,91,E02003455,0dc0214c-14c6-4294-a828-7495e404d8e9
