Scotland's Census 2011 - National Records of Scotland
Table QS415SC - Central heating
All occupied household spaces

,"All occupied household spaces","No central heating","Gas central heating","Electric (including storage heaters) central heating","Oil central heating","Solid fuel (for example wood, coal) central heating","Other central heating","Two or more types of central heating"
"S01006644",553,21,434,76,1,-,-,21
"S01006645",393,17,91,276,-,-,-,9
"S01006646",340,26,108,192,-,-,3,11
"S01006647",341,14,121,201,-,-,3,2
"S01006648",651,55,411,153,2,-,4,26
"S01006649",583,16,455,93,-,-,1,18
"S01006650",481,41,345,76,-,1,2,16
"S01006651",382,22,255,85,-,-,1,19
"S01006652",308,17,223,59,-,-,1,8
"S01006653",296,5,252,32,-,-,-,7
"S01006654",504,6,423,61,-,1,1,12
"S01006655",334,4,301,21,-,-,-,8
"S01006656",524,27,411,72,-,-,3,11
"S01006657",286,19,228,33,-,-,1,5
"S01006658",525,27,347,130,1,-,1,19
"S01006659",287,7,251,19,1,-,1,8
"S01006660",247,19,182,34,2,-,-,10
"S01006661",301,22,237,39,-,-,-,3
"S01006662",285,10,240,20,-,1,-,14
"S01006663",245,11,188,37,-,-,1,8
"S01006664",237,11,160,61,-,-,1,4
"S01006665",316,32,203,68,-,-,1,12
"S01006666",499,28,193,229,-,-,44,5
"S01006667",447,32,211,138,1,3,55,7
"S01006668",413,14,281,114,-,-,-,4
"S01006669",444,14,357,55,2,-,6,10
"S01006670",347,14,304,15,-,-,-,14
"S01006671",233,9,156,62,1,1,1,3
"S01006672",366,12,294,41,2,-,3,14
"S01006673",367,10,273,71,-,-,3,10
"S01006674",544,23,156,345,2,-,12,6
"S01006675",315,6,284,9,-,1,1,14
"S01006676",358,4,289,50,-,-,-,15
"S01006677",398,11,340,29,-,-,-,18
"S01006678",525,6,365,135,-,1,2,16
"S01006679",315,7,270,30,1,1,-,6
"S01006680",416,8,175,225,1,-,-,7
"S01006681",464,17,146,292,-,-,2,7
"S01006682",384,6,296,63,-,-,1,18
"S01006683",370,11,314,28,2,-,1,14
"S01006684",401,13,284,87,-,2,2,13
"S01006685",427,12,368,33,-,-,1,13
"S01006686",305,1,280,15,1,2,-,6
"S01006687",419,6,382,24,-,-,-,7
"S01006688",510,3,362,136,-,1,2,6
"S01006689",288,2,270,11,-,-,-,5
"S01006690",308,4,281,13,-,-,-,10
"S01006691",271,3,250,9,1,-,-,8
"S01006692",361,6,329,18,-,1,-,7
"S01006693",497,18,406,54,1,-,1,17
"S01006694",480,10,323,100,7,-,34,6
"S01006695",346,5,310,22,-,-,-,9
"S01006696",390,6,274,102,1,-,-,7
"S01006697",435,4,247,174,-,-,-,10
"S01006698",409,6,259,123,-,-,5,16
"S01006699",209,3,164,38,-,1,1,2
"S01006700",431,5,347,60,-,1,6,12
"S01006701",321,-,307,10,-,-,-,4
"S01006702",332,2,305,14,2,-,4,5
"S01006703",301,3,273,16,1,-,1,7
"S01006704",301,2,277,11,-,1,-,10
"S01006705",364,6,299,51,-,-,4,4
"S01006706",272,9,239,13,1,-,1,9
"S01006707",311,3,280,16,-,-,-,12
"S01006708",364,5,290,63,-,1,2,3
"S01006709",376,7,332,27,-,-,2,8
"S01006710",415,4,382,21,1,-,2,5
"S01006711",511,5,459,39,1,-,3,4
"S01006712",250,1,234,11,-,-,-,4
"S01006713",420,4,388,16,-,1,-,11
"S01006714",304,2,283,10,1,-,1,7
"S01006715",218,2,202,7,-,1,-,6
"S01006716",242,4,221,9,-,-,-,8
"S01006717",445,5,384,41,-,-,2,13
"S01006718",248,-,237,7,-,1,-,3
"S01006719",350,3,331,11,-,2,-,3
"S01006720",242,4,229,5,-,-,-,4
"S01006721",386,5,345,23,-,1,-,12
"S01006722",312,-,288,21,-,-,-,3
"S01006723",283,5,259,11,-,1,1,6
"S01006724",343,7,313,10,-,-,2,11
"S01006725",265,1,253,5,-,-,-,6
"S01006726",505,3,467,12,1,3,3,16
"S01006727",395,5,326,53,-,-,1,10
"S01006728",334,5,309,14,-,-,-,6
"S01006729",349,1,301,30,-,-,2,15
"S01006730",276,7,219,45,-,-,-,5
"S01006731",257,1,238,13,1,-,-,4
"S01006732",353,9,169,31,111,6,7,20
"S01006733",309,1,303,2,-,-,-,3
"S01006734",352,1,337,8,-,-,2,4
"S01006735",245,1,224,14,-,-,2,4
"S01006736",395,-,374,18,-,1,-,2
"S01006737",265,-,234,5,23,1,1,1
"S01006738",453,11,327,106,2,1,-,6
"S01006739",309,25,252,19,-,4,-,9
"S01006740",335,3,307,15,2,3,1,4
"S01006741",342,4,323,7,-,-,3,5
"S01006742",233,-,225,5,-,-,1,2
"S01006743",271,3,252,8,-,-,1,7
"S01006744",302,8,264,22,1,-,1,6
"S01006745",409,4,351,39,3,1,3,8
"S01006746",350,4,315,23,1,1,-,6
"S01006747",368,3,340,17,5,-,-,3
"S01006748",408,3,380,15,1,1,2,6
"S01006749",419,6,341,65,1,-,1,5
"S01006750",292,5,237,38,6,-,-,6
"S01006751",241,1,210,27,-,1,-,2
"S01006752",339,5,289,39,1,1,1,3
"S01006753",410,3,364,29,7,-,-,7
"S01006754",400,4,363,22,2,1,1,7
"S01006755",289,6,195,22,46,10,6,4
"S01006756",286,-,266,7,-,-,1,12
"S01006757",343,10,259,71,-,-,1,2
"S01006758",318,8,221,85,1,-,1,2
"S01006759",251,1,228,21,-,-,-,1
"S01006760",235,5,152,69,1,-,2,6
"S01006761",334,15,215,91,8,-,1,4
"S01006762",416,6,338,36,22,1,5,8
"S01006763",334,3,229,94,-,1,-,7
"S01006764",345,12,286,39,2,-,-,6
"S01006765",273,23,197,50,-,-,-,3
"S01006766",240,10,192,32,2,-,2,2
"S01006767",283,1,274,4,2,-,1,1
"S01006768",212,-,208,2,1,-,-,1
"S01006769",392,2,371,12,1,-,-,6
"S01006770",273,1,263,8,-,-,-,1
"S01006771",150,-,146,3,1,-,-,-
"S01006772",375,8,346,15,-,1,-,5
"S01006773",255,1,244,4,1,-,2,3
"S01006774",221,1,211,4,1,-,-,4
"S01006775",319,8,242,58,5,-,1,5
"S01006776",271,1,208,57,-,-,1,4
"S01006777",262,1,253,5,-,-,-,3
"S01006778",287,8,261,14,1,-,1,2
"S01006779",293,8,259,15,-,-,-,11
"S01006780",254,6,223,22,3,-,-,-
"S01006781",295,1,276,13,2,-,-,3
"S01006782",341,14,259,67,-,-,-,1
"S01006783",299,2,274,15,3,-,1,4
"S01006784",302,17,213,66,2,-,-,4
"S01006785",223,1,213,1,1,-,1,6
"S01006786",339,3,286,46,2,-,1,1
"S01006787",281,3,260,16,-,-,-,2
"S01006788",302,9,236,9,25,11,3,9
"S01006789",290,14,17,77,160,10,2,10
"S01006790",444,13,10,198,194,12,7,10
"S01006791",253,14,11,18,160,17,3,30
"S01006792",214,10,24,27,114,18,5,16
"S01006793",245,8,45,58,92,20,5,17
"S01006794",280,9,12,115,120,16,2,6
"S01006795",319,6,24,104,162,1,8,14
"S01006796",222,1,6,70,121,5,8,11
"S01006797",243,11,9,40,139,20,2,22
"S01006798",225,14,10,36,118,12,13,22
"S01006799",403,6,27,164,168,14,13,11
"S01006800",320,6,25,49,193,8,16,23
"S01006801",353,6,235,11,77,3,4,17
"S01006802",298,18,17,64,162,16,5,16
"S01006803",313,4,202,53,37,8,2,7
"S01006804",295,1,261,15,10,2,-,6
"S01006805",442,12,239,75,76,12,6,22
"S01006806",429,20,57,70,229,25,11,17
"S01006807",243,6,21,12,185,4,5,10
"S01006808",248,10,21,58,131,7,7,14
"S01006809",354,8,17,175,121,15,3,15
"S01006810",370,15,22,115,168,25,6,19
"S01006811",430,14,22,76,261,26,9,22
"S01006812",304,10,21,74,153,20,10,16
"S01006813",322,24,11,115,124,25,4,19
"S01006814",282,3,256,7,8,1,1,6
"S01006815",285,8,159,96,8,2,1,11
"S01006816",298,3,217,59,10,1,3,5
"S01006817",261,13,86,44,94,11,9,4
"S01006818",278,4,27,45,156,21,10,15
"S01006819",313,12,49,36,175,13,12,16
"S01006820",180,4,125,11,33,-,2,5
"S01006821",229,8,88,15,94,5,3,16
"S01006822",279,14,77,25,125,16,6,16
"S01006823",302,8,245,33,8,1,-,7
"S01006824",367,3,312,42,2,2,-,6
"S01006825",333,-,316,7,2,1,2,5
"S01006826",344,2,273,55,6,1,-,7
"S01006827",419,7,336,65,2,-,-,9
"S01006828",485,19,321,127,9,2,-,7
"S01006829",139,-,131,2,5,-,-,1
"S01006830",301,3,284,6,2,1,-,5
"S01006831",221,3,202,10,4,-,1,1
"S01006832",424,1,377,29,5,2,3,7
"S01006833",175,1,166,3,2,1,-,2
"S01006834",163,3,156,-,-,-,-,4
"S01006835",478,13,329,117,7,4,2,6
"S01006836",210,2,197,-,6,-,1,4
"S01006837",230,1,218,6,4,-,-,1
"S01006838",249,3,221,16,3,2,-,4
"S01006839",450,5,406,15,12,-,2,10
"S01006840",366,-,349,1,10,1,-,5
"S01006841",344,-,328,2,13,-,-,1
"S01006842",308,1,287,14,4,1,-,1
"S01006843",312,-,304,4,1,-,1,2
"S01006844",332,22,142,134,31,-,-,3
"S01006845",366,3,315,38,3,-,1,6
"S01006846",240,5,201,21,5,1,3,4
"S01006847",238,3,218,8,5,-,1,3
"S01006848",364,6,109,25,176,12,26,10
"S01006849",355,4,293,18,31,1,3,5
"S01006850",365,5,325,11,8,-,6,10
"S01006851",337,5,274,46,5,2,1,4
"S01006852",229,3,65,15,115,8,6,17
"S01006853",318,12,87,21,162,6,15,15
"S01006854",364,6,299,44,9,1,-,5
"S01006855",294,11,33,22,183,11,15,19
"S01006856",254,12,17,22,173,12,6,12
"S01006857",398,23,67,51,216,16,9,16
"S01006858",240,9,17,10,166,9,6,23
"S01006859",421,5,360,41,10,1,1,3
"S01006860",264,3,152,90,11,2,-,6
"S01006861",195,-,187,-,6,-,-,2
"S01006862",312,1,257,42,5,2,-,5
"S01006863",295,2,196,84,5,3,2,3
"S01006864",165,-,131,6,2,8,14,4
"S01006865",424,12,313,79,7,2,-,11
"S01006866",220,1,206,4,8,-,-,1
"S01006867",293,-,243,35,9,1,-,5
"S01006868",364,1,253,61,31,14,1,3
"S01006869",197,10,15,53,92,11,6,10
"S01006870",196,5,9,72,95,4,2,9
"S01006871",265,3,18,52,162,8,5,17
"S01006872",252,12,60,21,129,7,7,16
"S01006873",426,12,142,62,178,12,7,13
"S01006874",216,17,18,21,127,17,3,13
"S01006875",321,8,29,100,145,22,6,11
"S01006876",396,10,21,108,212,12,13,20
"S01006877",372,19,24,28,243,23,9,26
"S01006878",322,7,19,49,195,24,3,25
"S01006879",322,20,29,30,172,28,9,34
"S01006880",227,1,50,37,115,1,15,8
"S01006881",227,11,21,18,158,8,2,9
"S01006882",207,3,4,128,62,8,-,2
"S01006883",217,4,6,71,111,-,22,3
"S01006884",390,-,7,168,188,16,4,7
"S01006885",220,3,12,54,132,6,2,11
"S01006886",321,14,22,75,159,17,12,22
"S01006887",213,1,8,20,164,4,2,14
"S01006888",309,7,20,51,184,16,11,20
"S01006889",350,5,233,92,9,1,1,9
"S01006890",264,2,232,13,11,-,1,5
"S01006891",400,5,278,46,52,5,1,13
"S01006892",275,-,194,68,5,3,-,5
"S01006893",196,7,138,39,9,1,-,2
"S01006894",448,-,357,79,6,1,2,3
"S01006895",266,5,190,63,2,1,-,5
"S01006896",361,3,304,40,6,2,1,5
"S01006897",290,1,264,13,4,-,1,7
"S01006898",340,2,285,43,1,-,1,8
"S01006899",242,4,225,11,-,-,-,2
"S01006900",234,-,183,40,9,-,-,2
"S01006901",270,1,166,94,5,1,1,2
"S01006902",296,5,154,129,5,-,-,3
"S01006903",349,11,212,105,13,5,-,3
"S01006904",330,1,206,106,5,-,1,11
"S01006905",395,3,352,22,7,2,1,8
"S01006906",441,3,330,94,2,4,1,7
"S01006907",305,7,218,56,8,2,3,11
"S01006908",426,2,330,75,2,-,-,17
"S01006909",275,1,229,2,26,-,1,16
"S01006910",353,13,96,24,179,10,9,22
"S01006911",224,-,214,6,1,-,1,2
"S01006912",170,11,32,21,78,9,5,14
"S01006913",182,1,130,9,35,2,1,4
"S01006914",273,11,24,27,180,12,3,16
"S01006915",301,8,37,17,210,8,7,14
"S01006916",207,-,192,2,5,-,-,8
"S01006917",320,-,305,2,9,1,1,2
"S01006918",195,2,162,5,22,1,-,3
"S01006919",205,6,158,21,13,3,-,4
"S01006920",243,3,199,26,6,2,-,7
"S01006921",270,3,249,7,4,1,-,6
"S01006922",201,4,58,16,103,3,10,7
"S01006923",331,-,221,19,74,3,4,10
"S01006924",208,4,21,14,145,6,3,15
"S01006925",215,3,192,14,5,1,-,-
"S01006926",263,-,238,6,12,2,2,3
"S01006927",358,1,329,7,10,-,-,11
"S01006928",416,14,268,35,81,8,2,8
"S01006929",280,1,270,1,3,1,1,3
"S01006930",358,1,343,7,3,-,-,4
"S01006931",159,7,24,13,96,8,5,6
"S01006932",195,-,185,4,4,-,-,2
"S01006933",220,1,215,-,3,1,-,-
"S01006934",234,4,38,62,104,3,10,13
