Scotland's Census 2011 - National Records of Scotland
Table QS415SC - Central heating
All occupied household spaces

,"All occupied household spaces","No central heating","Gas central heating","Electric (including storage heaters) central heating","Oil central heating","Solid fuel (for example wood, coal) central heating","Other central heating","Two or more types of central heating"
"S01007814",229,5,195,27,1,-,-,1
"S01007815",343,5,266,65,2,-,1,4
"S01007816",273,5,247,17,-,-,-,4
"S01007817",207,5,178,20,-,-,-,4
"S01007818",314,6,238,57,4,-,2,7
"S01007819",353,13,320,14,1,-,-,5
"S01007820",408,2,375,21,-,-,4,6
"S01007821",244,9,189,38,1,-,-,7
"S01007822",349,7,324,14,-,-,1,3
"S01007823",306,5,250,47,-,-,1,3
"S01007824",342,14,283,42,-,-,1,2
"S01007825",482,8,443,22,-,1,3,5
"S01007826",260,8,145,92,-,-,1,14
"S01007827",291,8,79,200,-,-,1,3
"S01007828",592,44,395,124,-,-,-,29
"S01007829",348,2,292,41,-,-,-,13
"S01007830",545,26,450,55,-,-,-,14
"S01007831",501,41,281,163,-,-,2,14
"S01007832",362,10,285,49,-,-,1,17
"S01007833",479,5,426,37,-,-,-,11
"S01007834",416,28,244,135,-,-,-,9
"S01007835",325,8,265,35,-,-,-,17
"S01007836",285,6,176,96,-,-,1,6
"S01007837",357,6,334,13,1,-,-,3
"S01007838",392,5,331,52,1,-,-,3
"S01007839",281,10,139,125,1,-,1,5
"S01007840",425,22,121,279,1,-,1,1
"S01007841",341,7,207,111,-,-,2,14
"S01007842",391,16,245,104,-,-,-,26
"S01007843",354,24,203,122,-,-,-,5
"S01007844",520,12,356,123,-,-,1,28
"S01007845",427,15,327,59,-,-,-,26
"S01007846",337,6,250,67,-,-,-,14
"S01007847",437,18,307,104,-,-,2,6
"S01007848",447,16,305,113,-,-,-,13
"S01007849",413,24,251,122,-,-,4,12
"S01007850",293,8,239,35,-,-,-,11
"S01007851",479,12,318,134,1,1,-,13
"S01007852",356,8,169,170,-,-,2,7
"S01007853",413,26,139,240,-,-,1,7
"S01007854",548,19,168,352,-,-,4,5
"S01007855",310,40,120,144,-,-,1,5
"S01007856",348,9,273,50,-,1,-,15
"S01007857",233,4,180,38,-,-,-,11
"S01007858",533,6,385,121,2,-,3,16
"S01007859",246,-,207,21,1,-,5,12
"S01007860",237,-,219,5,-,-,1,12
"S01007861",254,11,216,18,-,-,1,8
"S01007862",308,10,262,27,-,1,-,8
"S01007863",441,11,343,58,1,-,2,26
"S01007864",486,16,332,124,-,-,2,12
"S01007865",229,2,221,2,1,1,-,2
"S01007866",209,2,201,1,3,-,-,2
"S01007867",195,8,150,14,12,1,1,9
"S01007868",351,2,330,14,-,-,-,5
"S01007869",362,3,329,21,-,1,-,8
"S01007870",199,2,126,3,41,16,4,7
"S01007871",285,1,264,6,2,8,-,4
"S01007872",322,-,311,2,1,4,-,4
"S01007873",295,2,257,24,2,5,-,5
"S01007874",367,2,350,4,-,6,-,5
"S01007875",242,1,224,3,7,6,-,1
"S01007876",420,-,399,2,5,7,2,5
"S01007877",336,1,297,22,5,7,-,4
"S01007878",281,-,265,3,5,4,-,4
"S01007879",320,-,305,6,-,6,-,3
"S01007880",178,3,97,4,52,10,6,6
"S01007881",244,1,40,75,60,48,13,7
"S01007882",268,3,65,18,149,7,15,11
"S01007883",468,-,430,15,15,4,1,3
"S01007884",269,-,251,6,2,8,-,2
"S01007885",345,3,316,14,1,4,1,6
"S01007886",433,4,370,46,5,5,-,3
"S01007887",230,11,69,21,111,7,4,7
"S01007888",451,2,410,22,5,6,-,6
"S01007889",242,-,216,6,1,9,-,10
"S01007890",300,1,285,4,2,3,2,3
"S01007891",370,1,348,12,4,3,1,1
"S01007892",341,1,315,12,4,4,-,5
"S01007893",423,-,405,10,4,3,-,1
"S01007894",386,-,359,9,8,4,1,5
"S01007895",249,-,219,18,5,2,2,3
"S01007896",387,3,361,4,4,6,1,8
"S01007897",165,4,49,3,84,13,8,4
"S01007898",166,2,95,6,47,9,7,-
"S01007899",145,5,78,-,48,5,6,3
"S01007900",232,1,218,5,3,2,-,3
"S01007901",317,5,292,4,7,3,1,5
"S01007902",394,1,369,4,3,6,-,11
"S01007903",322,-,307,7,2,-,3,3
"S01007904",312,6,64,33,158,22,13,16
"S01007905",292,1,281,3,2,1,-,4
"S01007906",382,1,362,6,3,2,3,5
"S01007907",254,-,248,-,3,-,1,2
"S01007908",419,4,391,3,11,3,1,6
"S01007909",226,2,214,2,2,2,-,4
"S01007910",369,1,356,-,1,5,1,5
"S01007911",348,-,331,6,4,4,-,3
"S01007912",346,1,324,15,-,1,-,5
"S01007913",304,-,283,5,2,5,-,9
"S01007914",279,-,253,14,-,5,1,6
"S01007915",361,-,345,11,-,3,1,1
"S01007916",399,1,382,9,-,3,-,4
"S01007917",369,-,350,6,1,7,-,5
"S01007918",446,4,393,38,2,5,2,2
"S01007919",303,-,297,2,2,-,-,2
"S01007920",245,-,239,3,-,2,-,1
"S01007921",422,1,404,1,3,8,-,5
"S01007922",386,1,370,8,2,1,-,4
"S01007923",412,5,384,10,3,4,4,2
"S01007924",430,2,400,6,5,6,-,11
"S01007925",176,4,37,6,111,2,6,10
"S01007926",175,3,53,8,92,1,14,4
"S01007927",237,3,59,22,98,11,28,16
"S01007928",418,3,365,27,16,2,2,3
"S01007929",268,10,95,12,119,8,11,13
"S01007930",216,5,41,16,115,7,16,16
"S01007931",481,4,438,18,9,2,1,9
"S01007932",364,3,343,9,4,-,-,5
"S01007933",316,2,277,29,4,-,-,4
"S01007934",300,3,251,38,2,-,1,5
"S01007935",444,7,350,73,2,1,-,11
"S01007936",389,2,378,5,1,-,-,3
"S01007937",435,5,406,10,2,1,2,9
"S01007938",372,1,358,2,-,1,3,7
"S01007939",412,5,355,46,2,1,-,3
"S01007940",497,5,476,5,3,-,3,5
"S01007941",257,-,249,-,4,-,1,3
"S01007942",207,2,198,4,3,-,-,-
"S01007943",319,5,292,10,4,-,-,8
"S01007944",442,2,420,7,3,-,1,9
"S01007945",443,9,365,49,5,1,1,13
"S01007946",396,12,336,41,2,1,1,3
"S01007947",327,7,298,16,1,1,-,4
"S01007948",304,1,282,8,6,-,-,7
"S01007949",347,2,333,6,2,-,-,4
"S01007950",376,1,357,4,11,-,1,2
"S01007951",321,-,301,13,5,-,-,2
"S01007952",357,6,314,25,4,-,1,7
"S01007953",414,3,397,7,2,1,1,3
"S01007954",324,2,304,9,1,1,2,5
"S01007955",322,5,306,4,4,-,-,3
"S01007956",297,2,285,4,1,1,1,3
"S01007957",455,2,441,2,3,1,-,6
"S01007958",388,3,374,2,4,-,1,4
"S01007959",380,2,358,9,6,1,2,2
"S01007960",291,-,284,-,3,1,-,3
"S01007961",278,4,93,12,141,5,8,15
"S01007962",246,1,235,4,1,-,-,5
"S01007963",408,1,395,4,1,-,-,7
"S01007964",353,3,330,11,1,-,1,7
"S01007965",256,2,249,3,1,1,-,-
"S01007966",418,4,396,5,3,1,1,8
"S01007967",245,1,235,4,1,-,1,3
"S01007968",397,2,371,13,2,3,-,6
"S01007969",390,3,362,23,-,-,-,2
"S01007970",408,5,386,12,-,-,-,5
"S01007971",469,3,441,20,1,-,2,2
"S01007972",377,4,356,15,-,-,-,2
"S01007973",355,-,348,5,1,-,-,1
"S01007974",426,4,394,17,-,-,-,11
"S01007975",324,6,297,18,-,-,-,3
"S01007976",456,3,436,6,1,-,2,8
"S01007977",304,1,291,6,1,-,2,3
"S01007978",353,9,326,12,-,-,-,6
"S01007979",363,4,344,8,2,-,-,5
"S01007980",340,-,330,7,-,1,-,2
"S01007981",252,1,243,3,2,-,-,3
"S01007982",210,-,203,2,3,-,1,1
"S01007983",387,-,363,14,-,-,2,8
"S01007984",374,3,327,35,3,-,1,5
"S01007985",412,-,401,4,-,1,1,5
"S01007986",238,-,231,4,1,-,-,2
"S01007987",313,4,252,54,-,-,-,3
"S01007988",336,1,326,5,-,1,-,3
"S01007989",290,3,207,72,2,-,4,2
"S01007990",339,1,295,40,1,-,-,2
"S01007991",334,1,317,1,9,-,2,4
"S01007992",224,-,220,2,1,-,1,-
"S01007993",329,-,324,2,1,-,1,1
"S01007994",293,2,287,1,1,-,-,2
"S01007995",309,2,303,-,1,-,-,3
"S01007996",187,-,179,3,1,-,1,3
"S01007997",296,1,289,4,1,-,-,1
"S01007998",225,3,208,8,1,1,1,3
"S01007999",301,1,297,-,-,-,1,2
"S01008000",390,2,344,37,1,-,2,4
"S01008001",372,1,362,3,3,-,-,3
"S01008002",330,2,303,9,4,-,1,11
"S01008003",241,1,234,3,1,-,1,1
"S01008004",230,-,223,-,2,-,1,4
"S01008005",220,1,214,-,1,-,-,4
"S01008006",248,2,233,4,-,1,-,8
"S01008007",208,2,193,3,-,-,2,8
"S01008008",267,1,254,1,-,-,-,11
"S01008009",373,1,361,-,3,-,1,7
"S01008010",476,4,418,47,3,-,-,4
"S01008011",455,1,396,48,1,-,-,9
"S01008012",471,11,392,55,-,-,1,12
"S01008013",363,4,310,41,-,1,2,5
"S01008014",312,4,289,15,1,-,1,2
"S01008015",437,5,414,12,-,-,1,5
"S01008016",433,7,413,8,-,1,-,4
"S01008017",375,1,350,18,4,-,-,2
"S01008018",308,-,296,6,2,-,1,3
"S01008019",271,1,251,7,5,1,-,6
"S01008020",313,3,297,8,3,1,-,1
"S01008021",244,1,241,1,1,-,-,-
"S01008022",286,2,271,6,4,-,-,3
"S01008023",246,-,240,2,3,-,1,-
"S01008024",224,-,219,-,2,-,-,3
"S01008025",283,3,265,11,2,-,-,2
"S01008026",466,1,446,9,2,1,4,3
"S01008027",259,1,246,5,4,1,1,1
"S01008028",239,2,230,2,4,-,-,1
"S01008029",345,16,108,70,107,25,14,5
"S01008030",476,5,436,18,5,4,-,8
"S01008031",403,2,385,14,2,-,-,-
"S01008032",377,3,363,6,-,1,1,3
"S01008033",269,1,242,3,9,-,5,9
"S01008034",271,-,235,32,2,-,-,2
"S01008035",281,4,264,10,-,-,-,3
"S01008036",246,2,240,4,-,-,-,-
"S01008037",421,5,390,10,1,-,2,13
"S01008038",303,5,290,3,-,1,2,2
"S01008039",363,5,347,2,-,-,-,9
"S01008040",332,4,306,8,8,1,2,3
"S01008041",354,1,335,11,-,-,2,5
"S01008042",280,2,263,9,1,-,3,2
"S01008043",398,2,371,13,4,-,1,7
"S01008044",431,2,377,43,1,-,4,4
"S01008045",449,11,310,80,33,3,3,9
"S01008046",527,1,439,83,1,-,-,3
"S01008047",292,2,280,8,-,-,1,1
"S01008048",238,1,233,1,1,-,-,2
"S01008049",357,2,344,6,1,-,1,3
"S01008050",245,4,210,28,1,-,-,2
"S01008051",328,2,318,5,1,-,-,2
"S01008052",337,-,325,3,4,-,-,5
"S01008053",263,2,257,1,2,-,-,1
"S01008054",361,-,346,8,3,-,-,4
"S01008055",384,-,373,2,5,1,-,3
"S01008056",332,4,247,75,1,-,2,3
"S01008057",400,5,315,75,3,-,1,1
"S01008058",304,1,262,40,1,-,-,-
"S01008059",260,-,257,2,-,-,-,1
"S01008060",326,2,313,7,-,-,-,4
"S01008061",283,2,244,34,1,-,-,2
"S01008062",371,2,350,8,-,-,2,9
"S01008063",381,1,366,11,2,-,-,1
"S01008064",296,1,274,13,2,-,-,6
"S01008065",348,1,338,5,1,1,-,2
"S01008066",326,1,318,3,-,-,-,4
"S01008067",257,2,243,4,3,-,-,5
"S01008068",384,5,367,6,2,-,-,4
"S01008069",385,1,366,11,-,1,1,5
"S01008070",356,4,340,11,1,-,-,-
"S01008071",287,4,271,8,2,-,-,2
"S01008072",350,1,340,5,-,-,2,2
"S01008073",178,-,172,2,1,-,-,3
"S01008074",378,2,362,7,2,-,2,3
"S01008075",246,-,236,5,2,-,-,3
"S01008076",301,3,215,77,2,-,1,3
"S01008077",349,3,334,5,2,-,-,5
"S01008078",350,4,327,9,3,-,2,5
"S01008079",341,1,333,2,-,-,-,5
"S01008080",279,1,252,23,-,1,-,2
"S01008081",235,2,209,23,-,-,-,1
"S01008082",328,1,317,5,1,-,1,3
"S01008083",270,2,260,2,3,-,1,2
"S01008084",353,6,323,10,8,1,1,4
"S01008085",339,1,305,5,15,8,2,3
"S01008086",418,2,379,3,20,-,8,6
"S01008087",330,-,322,5,1,-,-,2
"S01008088",398,2,379,9,1,-,3,4
"S01008089",243,1,225,4,1,-,1,11
"S01008090",305,5,288,9,2,-,-,1
"S01008091",146,-,141,3,-,-,1,1
"S01008092",368,4,350,3,3,-,2,6
"S01008093",331,1,302,26,-,-,1,1
"S01008094",257,3,241,8,3,-,2,-
"S01008095",345,2,325,9,2,-,2,5
"S01008096",334,7,280,43,-,-,-,4
"S01008097",281,1,209,69,1,-,-,1
"S01008098",293,1,279,10,-,-,-,3
"S01008099",209,1,204,2,1,-,-,1
"S01008100",401,2,328,64,1,-,-,6
"S01008101",351,3,288,56,2,-,-,2
"S01008102",310,5,295,7,-,-,-,3
"S01008103",338,5,311,12,1,-,-,9
"S01008104",390,4,349,29,-,-,-,8
"S01008105",518,2,468,30,1,-,1,16
"S01008106",371,10,323,22,-,-,4,12
"S01008107",281,2,259,9,1,-,1,9
"S01008108",244,-,236,6,-,-,-,2
"S01008109",332,1,327,2,-,-,-,2
"S01008110",316,1,310,3,-,-,-,2
"S01008111",349,1,305,39,-,-,1,3
"S01008112",322,2,315,4,-,-,1,-
"S01008113",359,4,339,12,-,-,1,3
"S01008114",262,5,248,4,1,-,-,4
"S01008115",368,3,330,24,1,-,-,10
"S01008116",350,1,338,4,-,-,-,7
"S01008117",329,1,323,2,-,1,-,2
"S01008118",361,1,338,6,7,-,1,8
"S01008119",260,1,249,6,-,-,1,3
"S01008120",288,4,244,31,4,-,-,5
"S01008121",269,1,257,5,1,1,-,4
"S01008122",266,-,260,2,2,-,-,2
"S01008123",366,1,353,10,-,-,-,2
"S01008124",306,3,296,3,2,-,1,1
"S01008125",378,1,368,8,-,-,-,1
"S01008126",308,2,299,3,2,1,-,1
"S01008127",194,3,188,2,-,-,-,1
"S01008128",350,1,323,25,1,-,-,-
"S01008129",426,5,391,17,-,-,1,12
"S01008130",462,12,377,65,-,3,-,5
"S01008131",398,10,275,104,3,-,2,4
"S01008132",423,-,407,6,1,-,2,7
"S01008133",338,6,273,49,1,1,1,7
"S01008134",325,11,222,82,3,1,-,6
"S01008135",478,14,310,138,5,-,2,9
"S01008136",448,-,357,76,-,3,2,10
"S01008137",414,2,391,5,-,2,1,13
"S01008138",374,5,325,35,-,-,-,9
"S01008139",393,3,368,12,-,1,1,8
"S01008140",239,6,218,12,-,1,1,1
"S01008141",318,4,307,3,2,-,1,1
"S01008142",293,2,290,-,-,1,-,-
"S01008143",428,9,393,18,-,-,-,8
"S01008144",229,3,192,6,21,2,3,2
"S01008145",328,1,310,4,-,7,2,4
"S01008146",218,3,198,6,6,-,3,2
"S01008147",339,3,307,24,-,1,1,3
"S01008148",328,1,298,23,-,-,1,5
"S01008149",313,2,298,11,-,-,1,1
"S01008150",428,2,384,34,-,-,2,6
"S01008151",321,2,279,28,-,1,-,11
"S01008152",511,5,426,67,1,2,2,8
"S01008153",295,1,285,3,-,-,2,4
"S01008154",355,2,341,7,-,1,1,3
"S01008155",275,-,266,4,1,-,2,2
"S01008156",391,5,323,8,41,3,8,3
"S01008157",293,1,284,3,2,-,-,3
"S01008158",287,2,272,8,1,-,1,3
"S01008159",461,7,395,43,1,-,3,12
"S01008160",397,1,381,5,3,2,1,4
"S01008161",399,6,337,16,31,-,3,6
"S01008162",430,4,398,3,11,-,2,12
"S01008163",327,1,267,19,24,5,2,9
"S01008164",289,4,229,35,3,8,3,7
"S01008165",266,-,224,4,26,1,3,8
"S01008166",226,2,204,5,1,8,-,6
"S01008167",294,-,270,9,-,5,2,8
"S01008168",349,4,320,11,1,3,1,9
"S01008169",320,1,287,20,-,7,1,4
"S01008170",231,4,180,39,-,1,1,6
"S01008171",373,8,316,34,-,4,-,11
"S01008172",250,2,239,5,1,-,-,3
"S01008173",260,2,221,31,1,-,1,4
"S01008174",226,5,195,26,-,-,-,-
"S01008175",378,18,282,66,1,-,-,11
"S01008176",327,7,284,29,-,-,1,6
"S01008177",371,9,287,69,-,1,-,5
"S01008178",278,10,235,30,-,2,-,1
"S01008179",170,1,165,2,-,1,-,1
"S01008180",167,1,162,4,-,-,-,-
"S01008181",284,2,271,8,-,-,1,2
"S01008182",563,45,425,83,1,-,1,8
"S01008183",282,17,213,50,-,1,-,1
"S01008184",481,13,336,123,3,1,3,2
"S01008185",573,25,425,112,-,3,-,8
"S01008186",366,19,214,129,-,1,-,3
"S01008187",284,7,236,37,-,1,-,3
"S01008188",485,14,381,65,1,1,8,15
"S01008189",271,7,210,48,1,-,-,5
"S01008190",365,1,341,10,-,6,1,6
"S01008191",187,3,175,5,1,1,-,2
"S01008192",360,13,305,32,1,3,-,6
"S01008193",327,2,285,33,-,2,1,4
"S01008194",244,2,223,15,-,-,-,4
"S01008195",331,1,309,8,1,3,1,8
"S01008196",333,6,265,52,-,-,-,10
"S01008197",390,1,383,3,-,1,-,2
"S01008198",300,1,280,8,-,3,-,8
"S01008199",298,1,284,8,-,-,-,5
"S01008200",300,2,252,38,-,-,1,7
"S01008201",354,1,335,5,-,5,-,8
"S01008202",261,2,207,45,2,1,-,4
"S01008203",283,8,179,86,-,1,1,8
"S01008204",480,1,444,25,1,4,1,4
"S01008205",276,2,251,13,-,4,-,6
"S01008206",295,3,275,8,-,4,-,5
"S01008207",246,-,231,8,-,-,-,7
"S01008208",344,-,329,9,1,-,-,5
"S01008209",200,-,198,-,-,-,-,2
"S01008210",417,7,382,11,-,4,3,10
"S01008211",420,12,361,38,-,2,2,5
"S01008212",212,-,205,4,1,1,-,1
"S01008213",370,2,349,15,-,-,-,4
"S01008214",354,2,303,39,3,1,-,6
"S01008215",324,10,262,49,-,-,-,3
"S01008216",205,1,194,8,-,-,-,2
"S01008217",226,2,192,12,14,1,3,2
"S01008218",376,4,345,4,9,3,3,8
"S01008219",424,4,354,54,2,5,1,4
"S01008220",223,-,211,6,1,2,-,3
"S01008221",309,3,288,12,-,-,-,6
"S01008222",287,-,266,11,3,3,1,3
"S01008223",280,-,249,17,3,3,2,6
"S01008224",406,12,378,11,1,1,1,2
"S01008225",290,-,262,19,1,2,-,6
"S01008226",379,3,317,38,1,3,8,9
"S01008227",389,2,345,20,2,5,-,15
"S01008228",279,-,249,16,4,2,1,7
"S01008229",300,2,233,31,1,2,21,10
"S01008230",305,2,266,32,-,-,-,5
"S01008231",243,-,234,3,1,1,-,4
"S01008232",259,1,248,4,1,-,-,5
"S01008233",178,2,113,38,16,7,2,-
"S01008234",187,1,90,44,32,14,2,4
"S01008235",368,1,288,25,25,19,3,7
"S01008236",386,2,286,50,32,11,-,5
"S01008237",376,6,213,33,85,21,7,11
"S01008238",341,-,229,73,23,6,3,7
"S01008239",331,4,191,45,57,23,4,7
"S01008240",358,7,311,13,16,4,3,4
"S01008241",271,1,254,7,5,-,-,4
"S01008242",430,6,350,44,13,7,1,9
"S01008243",361,4,298,13,24,6,5,11
"S01008244",255,2,224,15,10,-,-,4
"S01008245",410,2,343,16,26,8,5,10
"S01008246",353,2,222,23,66,15,10,15
"S01008247",319,7,56,61,120,29,20,26
"S01008248",397,5,39,130,164,39,7,13
"S01008249",401,8,62,68,179,40,17,27
"S01008250",447,10,141,78,168,17,16,17
"S01008251",255,2,249,2,1,-,-,1
"S01008252",338,3,304,20,2,2,2,5
"S01008253",370,4,322,30,1,2,1,10
"S01008254",428,-,394,21,3,3,1,6
"S01008255",292,2,276,8,1,1,-,4
"S01008256",361,4,301,43,1,-,-,12
"S01008257",357,5,211,135,2,2,-,2
"S01008258",401,16,304,69,6,2,2,2
"S01008259",376,7,315,35,4,2,-,13
"S01008260",355,3,297,35,10,4,-,6
"S01008261",368,2,321,23,2,8,2,10
"S01008262",252,9,40,62,96,21,11,13
"S01008263",284,8,209,25,22,3,7,10
"S01008264",330,1,308,18,1,-,1,1
"S01008265",332,5,279,43,1,1,-,3
"S01008266",319,6,295,11,3,1,1,2
"S01008267",350,6,275,13,32,7,10,7
"S01008268",355,10,302,34,-,-,3,6
"S01008269",400,1,333,62,-,-,3,1
"S01008270",394,2,312,69,2,-,-,9
"S01008271",386,19,273,88,-,-,-,6
"S01008272",414,5,285,37,48,15,12,12
"S01008273",346,4,320,15,3,-,-,4
"S01008274",322,2,299,16,-,1,-,4
"S01008275",258,4,230,17,1,1,3,2
"S01008276",199,2,186,1,3,-,2,5
"S01008277",213,10,60,33,66,19,12,13
"S01008278",334,11,172,52,72,10,7,10
"S01008279",331,2,290,31,3,1,-,4
"S01008280",425,12,241,88,55,12,9,8
"S01008281",316,10,101,42,102,33,7,21
"S01008282",299,16,65,51,108,32,21,6
"S01008283",184,2,79,25,56,12,4,6
"S01008284",348,1,294,31,13,3,1,5
"S01008285",355,1,299,37,1,4,2,11
"S01008286",303,2,268,18,5,2,1,7
"S01008287",311,5,190,108,3,2,-,3
"S01008288",413,10,326,59,6,2,6,4
"S01008289",319,20,195,91,3,1,3,6
"S01008290",397,16,300,68,4,3,2,4
"S01008291",369,5,271,84,2,1,2,4
"S01008292",310,1,259,36,5,-,1,8
"S01008293",199,1,195,3,-,-,-,-
"S01008294",326,2,265,42,2,6,2,7
"S01008295",380,5,361,7,3,-,1,3
"S01008296",320,2,298,10,1,-,-,9
"S01008297",295,4,285,4,1,-,-,1
"S01008298",303,11,240,7,24,3,11,7
"S01008299",370,11,320,27,1,-,-,11
"S01008300",377,9,347,15,1,1,-,4
"S01008301",316,3,277,6,18,1,2,9
"S01008302",300,5,214,12,50,3,7,9
"S01008303",272,7,248,15,-,-,-,2
"S01008304",212,4,186,12,5,-,-,5
"S01008305",315,-,301,14,-,-,-,-
"S01008306",239,1,233,3,-,-,-,2
"S01008307",216,-,212,4,-,-,-,-
"S01008308",238,-,227,5,3,-,-,3
"S01008309",372,21,272,68,-,-,-,11
"S01008310",467,18,339,104,-,-,1,5
"S01008311",172,3,154,12,-,-,-,3
"S01008312",171,2,155,13,-,-,1,-
"S01008313",403,6,373,16,-,-,1,7
"S01008314",311,3,279,16,-,-,2,11
"S01008315",450,7,358,71,-,-,4,10
"S01008316",265,2,240,3,1,-,1,18
"S01008317",316,1,297,8,1,-,-,9
"S01008318",368,3,302,52,3,-,1,7
"S01008319",373,2,339,23,1,-,1,7
"S01008320",308,7,279,18,1,-,-,3
"S01008321",195,-,193,-,1,-,-,1
"S01008322",501,5,460,21,3,-,3,9
"S01008323",324,6,290,20,1,-,-,7
"S01008324",254,4,224,18,1,1,1,5
"S01008325",291,1,252,32,-,-,-,6
"S01008326",455,10,366,70,-,-,-,9
"S01008327",386,5,369,6,-,-,-,6
"S01008328",242,3,212,4,16,-,2,5
"S01008329",291,-,288,2,-,-,-,1
"S01008330",290,1,284,4,-,-,1,-
"S01008331",246,1,215,24,1,-,1,4
"S01008332",378,8,324,34,1,1,3,7
"S01008333",454,1,441,5,2,-,-,5
"S01008334",321,4,236,77,1,-,1,2
"S01008335",330,4,306,16,2,-,-,2
"S01008336",268,-,247,11,1,-,2,7
"S01008337",365,1,346,9,-,-,2,7
"S01008338",262,1,257,1,1,-,1,1
"S01008339",227,5,203,17,-,-,-,2
"S01008340",313,3,292,16,1,-,1,-
"S01008341",204,-,200,1,1,-,-,2
"S01008342",327,2,292,26,-,-,1,6
"S01008343",328,1,318,4,3,-,-,2
"S01008344",355,-,340,2,6,-,2,5
"S01008345",350,1,330,4,9,-,1,5
"S01008346",359,1,348,3,2,-,-,5
"S01008347",489,15,286,184,1,-,1,2
"S01008348",326,9,239,74,2,-,1,1
"S01008349",313,-,308,4,-,-,1,-
"S01008350",257,2,250,3,1,-,-,1
"S01008351",347,2,312,27,2,-,-,4
"S01008352",248,-,245,-,1,-,-,2
"S01008353",198,2,161,30,-,-,1,4
"S01008354",286,4,183,9,76,3,4,7
"S01008355",299,3,271,13,2,-,2,8
"S01008356",259,2,246,3,2,-,1,5
"S01008357",296,2,277,11,3,-,-,3
"S01008358",346,7,314,11,10,-,-,4
"S01008359",250,1,187,8,43,1,2,8
"S01008360",319,1,301,6,5,-,1,5
"S01008361",201,1,174,3,20,-,2,1
"S01008362",409,1,393,8,2,-,-,5
"S01008363",320,8,288,21,1,-,-,2
"S01008364",322,3,310,6,2,-,-,1
"S01008365",288,-,256,18,10,1,-,3
"S01008366",424,3,334,80,-,-,1,6
"S01008367",368,4,331,22,1,-,2,8
"S01008368",311,5,254,49,1,-,1,1
"S01008369",235,1,228,4,1,-,-,1
"S01008370",300,7,272,16,1,-,-,4
"S01008371",302,1,290,5,4,-,-,2
"S01008372",288,4,271,7,1,-,-,5
"S01008373",269,1,263,3,-,1,-,1
"S01008374",264,-,242,14,2,-,2,4
"S01008375",285,-,278,2,1,-,-,4
"S01008376",212,3,197,10,-,-,-,2
"S01008377",291,3,266,18,-,-,-,4
"S01008378",421,3,337,73,1,-,-,7
"S01008379",206,1,200,3,-,-,-,2
"S01008380",238,1,233,2,1,-,-,1
"S01008381",229,-,226,2,-,-,-,1
"S01008382",248,3,232,7,-,-,2,4
"S01008383",181,1,170,8,1,-,-,1
"S01008384",387,3,372,8,1,-,-,3
"S01008385",252,1,244,5,-,-,-,2
"S01008386",337,4,325,6,-,-,-,2
"S01008387",241,4,230,3,-,-,1,3
"S01008388",243,3,228,7,-,-,-,5
"S01008389",312,2,238,71,-,-,-,1
"S01008390",255,1,242,8,-,-,2,2
"S01008391",349,1,311,35,-,-,-,2
"S01008392",330,1,317,7,1,1,-,3
"S01008393",369,3,324,39,-,-,-,3
"S01008394",276,-,265,8,-,-,1,2
"S01008395",189,-,184,4,-,-,-,1
"S01008396",303,8,161,132,1,-,-,1
"S01008397",346,1,338,2,1,-,-,4
"S01008398",238,1,229,5,1,-,-,2
"S01008399",257,2,239,10,1,-,-,5
"S01008400",261,1,254,4,-,-,-,2
"S01008401",404,2,341,57,1,-,1,2
"S01008402",415,2,399,9,2,-,-,3
"S01008403",218,-,215,-,-,-,1,2
"S01008404",349,1,302,45,-,-,-,1
"S01008405",266,1,259,4,-,-,-,2
"S01008406",451,-,338,108,2,1,-,2
"S01008407",284,5,167,105,1,-,1,5
"S01008408",265,7,246,6,-,-,1,5
"S01008409",390,7,297,80,1,-,-,5
"S01008410",269,4,212,47,-,-,-,6
"S01008411",247,5,184,55,-,1,1,1
"S01008412",274,2,262,4,-,-,1,5
"S01008413",222,1,207,13,-,-,-,1
"S01008414",152,2,148,2,-,-,-,-
"S01008415",347,8,323,11,-,-,2,3
"S01008416",437,9,354,66,1,-,-,7
"S01008417",299,4,255,7,22,1,4,6
"S01008418",312,6,266,5,25,-,2,8
"S01008419",193,-,173,8,5,1,5,1
"S01008420",190,-,182,6,1,-,1,-
"S01008421",394,4,333,44,3,1,1,8
"S01008422",241,4,201,32,-,-,-,4
"S01008423",398,3,332,9,34,7,6,7
"S01008424",338,1,326,4,2,-,-,5
"S01008425",409,4,350,34,8,6,4,3
"S01008426",264,2,247,9,-,-,-,6
"S01008427",397,2,388,3,1,-,-,3
"S01008428",316,3,297,12,-,-,-,4
"S01008429",352,2,343,4,-,-,1,2
"S01008430",276,6,258,6,4,1,-,1
"S01008431",352,3,336,10,-,1,-,2
"S01008432",293,2,278,7,4,-,2,-
"S01008433",348,5,336,5,-,-,-,2
"S01008434",322,7,303,9,-,-,-,3
"S01008435",301,3,291,6,-,-,-,1
"S01008436",356,1,343,11,-,-,-,1
"S01008437",367,9,299,48,8,-,2,1
"S01008438",189,2,154,16,15,-,1,1
"S01008439",434,3,414,13,-,-,-,4
"S01008440",403,2,390,8,3,-,-,-
"S01008441",186,2,176,6,1,-,-,1
"S01008442",303,6,286,8,1,-,-,2
"S01008443",252,3,238,5,-,-,-,6
