Scenario (Short Name),Licence Area,Substation Name,Supply Voltage (kV),Voltage (kV),BSP Group,GSP,Substation Location,2022 Thermal Demand Headroom (MW),2023 Thermal Demand Headroom (MW),2024 Thermal Demand Headroom (MW),2025 Thermal Demand Headroom (MW),2026 Thermal Demand Headroom (MW),2027 Thermal Demand Headroom (MW),2028 Thermal Demand Headroom (MW),2029 Thermal Demand Headroom (MW),2030 Thermal Demand Headroom (MW),2031 Thermal Demand Headroom (MW),2035 Thermal Demand Headroom (MW),2040 Thermal Demand Headroom (MW),2045 Thermal Demand Headroom (MW),2050 Thermal Demand Headroom (MW),Bulk Supply Point or Primary,Scenario Full name,Output parameter,X,Y,location
FS (DFES),NPgY,TINGLEY,33.0,11.0,Beeston Royds 132/33kV,KIRKSTALL B,WF3  1SS,11.314101576652664,11.200174103386793,11.114025807116732,11.039082258034265,10.98492655817761,10.864583119004852,10.679445689439508,10.446021496483077,10.141482662212097,9.742778910127024,7.678621139295586,3.4756898919954438,-0.20650897271623236,-2.733077149068933,Primary,NG FES - Falling Short (DFES NPg regionalised),Network Capacity Demand Headroom (MW),428208.0,426242.0,"53.73181439594654, -1.5739025090015517"
FS (DFES),NPgN,WORMALD GREEN 132/33KV,132.0,33.0,Wormald Green 132/33kV,KNARESBOROUGH,HG3  3PS,24.46422742453533,23.86940934422951,23.32577252696452,22.805460476029047,22.336096529703042,21.657621458639873,20.840818463733207,19.88610772742372,18.91933030326325,17.965801709898678,13.292689962982202,3.7170615919025494,-7.257492408161468,-15.540109164479887,BSP,NG FES - Falling Short (DFES NPg regionalised),Network Capacity Demand Headroom (MW),431336.0,464438.0,"54.07492259959957, -1.5225942604084106"
FS (DFES),NPgY,TINSLEY PARK ROAD,33.0,11.0,Wincobank,WINCOBANK,S9 5DL,7.982717873074812,7.957230081164088,7.933464025799299,7.9118997883399835,7.890778184552328,7.8660343050485935,7.819716366561202,7.770951041246743,7.71886362972673,7.73234489142272,7.760037035110681,7.491105975061259,6.759517161767189,6.420206295404423,Primary,NG FES - Falling Short (DFES NPg regionalised),Network Capacity Demand Headroom (MW),438845.0,389277.0,"53.39889760871977, -1.4172578790953096"
Best View Plan (PS),NPgN,WYNYARD,66.0,11.0,Hartmoor,HARTMOOR,TS2  2FB,35.67220478048844,35.67207305684234,35.65990738422776,35.6386392002904,35.605396665650176,35.553918611226145,35.48183093500976,35.3971575951316,35.28052285218467,35.15930509320758,34.63059359394152,33.975157219651386,33.46230597214945,33.10734584253902,Primary,NPg Best View Plan - Planning Scenario,Network Capacity Demand Headroom (MW),444180.0,527380.0,"54.639611381685825, -1.3170017063596497"
FS (DFES),NPgY,TINSLEY WIRE INDUSTRIES,33.0,11.0,Blackburn Meadows B,WEST MELTON / THORPE MARSH,S9   1TY,19.743762123992617,19.724515770089994,19.70934590772384,19.696831762897194,19.688768232163955,19.670889575170893,19.63874365067815,19.599226388247253,19.548731132258602,19.494649674738824,19.173580577197427,18.25728226835341,16.858840267876566,15.986498009508649,Primary,NG FES - Falling Short (DFES NPg regionalised),Network Capacity Demand Headroom (MW),439495.0,390289.0,"53.40794545355751, -1.407356480901257"
LTW (DFES),NPgN,WYNYARD,66.0,11.0,Hartmoor,HARTMOOR,TS2  2FB,35.72885108210467,35.779424362317044,35.797813477996314,35.79754036773423,35.767800676181935,35.73014554729314,35.67351861044496,35.60723556219506,35.52898572294655,35.354635560190495,34.756139837176356,34.25166167809909,34.09063396182492,34.06137487660787,Primary,NG FES - Leading the Way (DFES NPg regionalised),Network Capacity Demand Headroom (MW),444180.0,527380.0,"54.639611381685825, -1.3170017063596497"
FS (DFES),NPgY,TIVERTON ROAD,33.0,11.0,Bransholme,CREYKE BECK,HU7  4DA,8.71263921149793,8.656545144065324,8.622190763699093,8.60183269870302,8.600282220201459,8.56994460598087,8.51486429904588,8.444834524312869,8.35103742778028,8.265177004587352,7.798958324020786,6.341041564797532,4.671389985147076,2.8844823994338,Primary,NG FES - Falling Short (DFES NPg regionalised),Network Capacity Demand Headroom (MW),510141.0,433883.0,"53.78961770515885, -0.3296063976495787"
CT (DFES),NPgN,YEDINGHAM,66.0,11.0,Malton Grid,OSBALDWICK,YO17 8RR,5.013907996087283,5.034843918963829,5.02991166223482,5.011423513675767,4.961912714111076,4.9092945326149975,4.840808577641804,4.754177725193699,4.652247893400098,4.503259988081832,3.892497030010807,3.449290254715768,3.311072908659888,3.2594703123488182,Primary,NG FES - Consumer Transformation (DFES NPg regionalised),Network Capacity Demand Headroom (MW),489900.0,478100.0,"54.190796506987894, -0.6237072350076726"
FS (DFES),NPgY,TODMORDEN,33.0,11.0,Sowerby Bridge 132/33kV,ELLAND,OL14 7NB,11.407581049706266,11.324167583109327,11.260857614578043,11.206758599622338,11.188687208078186,11.113908371708208,10.980067753438984,10.803911857166904,10.561804155244888,10.244158728588296,8.480631944647154,4.5057907494882485,0.3891839734648883,-2.5815842678219454,Primary,NG FES - Falling Short (DFES NPg regionalised),Network Capacity Demand Headroom (MW),393280.0,423599.0,"53.70877071590988, -2.103283086637874"
CT (DFES),NPgN,YORK UNIVERSITY,33.0,11.0,Melrosegate,OSBALDWICK,YO10 5ZF,12.043593188473803,12.226485504428686,12.348462508185946,12.450224230132722,12.501174737923831,12.538167907727644,12.551675295089746,12.517183719614875,12.460428940743503,12.2694399999475,11.476476789583547,10.659521866147022,10.433074527902292,10.527102573970248,Primary,NG FES - Consumer Transformation (DFES NPg regionalised),Network Capacity Demand Headroom (MW),462825.0,450765.0,"53.94918109392312, -1.0442324602331823"
